FIPS,insurance,cancer,UrbanIntense,NoInternet,UNEMP,singleparent,LimEnglish,Housing_T,NDVI,VacantH,asthma,X,Y
21073,9.2,6.5,0.009,0.152,0.5344,0.653,0.6558,0.7332,0.63752381,0.102,10.3,-84.87706817,38.23914774
21075,13.5,6.4,0.002,0.342,0.6831,0.9803,0.1477,0.4839,0.608172,0.246,12.3,-89.18759659,36.55407214
21077,12,6.5,0.008,0.272,0.5669,0.5597,0.4642,0.6813,0.444307692,0.213,11,-84.85931239,38.75687466
21079,10.9,6.6,0.001,0.212,0.5854,0.7198,0.1477,0.148,0.653712,0.09,10.9,-84.53763423,37.6395779
21081,10.9,6.5,0.003,0.266,0.1946,0.8752,0.0707,0.6087,0.609842857,0.129,10.8,-84.62461338,38.64881556
21083,11.7,6.6,0.002,0.269,0.8051,0.3792,0.7848,0.5801,0.378833333,0.139,10.9,-88.65120577,36.72313819
21085,12.1,6.5,0.001,0.252,0.3121,0.3792,0.1477,0.5501,0.57130566,0.285,11.6,-86.34387653,37.46081895
21087,12.2,6.6,0.001,0.304,0.2924,0.2961,0.3582,0.3238,0.53109375,0.158,11.5,-85.55310567,37.26410942
21089,9.5,6.6,0.005,0.187,0.8468,0.3961,0,0.1544,0.6699875,0.139,11.5,-82.92229225,38.54566469
21091,10.3,6.6,0.004,0.222,0.5481,0.4518,0.5113,0.127,0.742414286,0.118,10.8,-86.77792521,37.84150873
21093,10,6.3,0.007,0.16,0.5669,0.7679,0.3582,0.6625,0.607968182,0.114,10.6,-85.9633719,37.6979246
21095,13.7,6.6,0.002,0.329,0.9217,0.49,0.1477,0.8873,0.820538,0.175,12.8,-83.21795104,36.8569745
21097,11,6.5,0.001,0.3,0.4303,0.3961,0.0707,0.5575,0.620771875,0.134,10.9,-84.33139583,38.44180351
21099,12.5,6.5,0.001,0.291,0.7232,0.3247,0.1477,0.6479,0.554545455,0.185,11.6,-85.8847094,37.29992674
21101,10.4,6.5,0.004,0.22,0.3634,0.8809,0.227,0.7714,0.691661538,0.102,11.1,-87.57315164,37.79584236
21103,11.3,6.5,0.001,0.246,0.4691,0.8809,0.1477,0.2391,0.580918182,0.113,11.1,-85.11892997,38.44846804
21105,12.3,6.5,0.001,0.325,0.5481,0.1391,0.1477,0.496,0.626836,0.211,11.8,-88.9762157,36.6781705
21107,10.4,6.5,0.003,0.258,0.5344,0.7112,0.0707,0.433,0.581298276,0.133,11.4,-87.54084214,37.30882014
21109,12.9,6.5,0.001,0.309,0.9369,0.5053,0,0.3276,0.775945455,0.173,11.9,-84.00576605,37.41977639
21111,10.2,6.7,0.085,0.151,0.5669,0.7469,0.774,0.7128,0.508941463,0.096,10.6,-85.65915771,38.187191
21113,9.7,6.5,0.009,0.149,0.6207,0.9319,0.7052,0.2703,0.6688,0.076,10.6,-84.58093725,37.87205132
21115,11.1,6.6,0.005,0.225,0.9252,0.1102,0.297,0.9459,0.722386207,0.182,11.3,-82.83153977,37.84663936
21117,8.7,6.6,0.024,0.142,0.3838,0.6702,0.5492,0.4343,0.598170588,0.088,10.1,-84.53331684,38.93345286
21119,13.1,6.6,0.002,0.309,0.9742,0.2665,0.0707,0.9876,0.836994286,0.162,12.2,-82.95413134,37.3540524
21121,13.3,6.6,0.003,0.403,0.7583,0.8462,0.0707,0.8173,0.81407619,0.164,12.3,-83.85404528,36.89066606
21123,11.7,6.5,0.001,0.214,0.5481,0.7905,0.4187,0.1515,0.639980645,0.11,11.3,-85.69791393,37.54579807
21125,11.3,6.5,0.008,0.23,0.842,0.7112,0.0707,0.7447,0.742591489,0.12,11.6,-84.11780032,37.11067055
21127,12.7,6.6,0.003,0.289,0.901,0.0777,0.4187,0.5727,0.713779545,0.194,12,-82.73475466,38.06787862
21129,14.3,6.5,0.001,0.437,0.8729,0.6234,0.0707,0.7997,0.646608333,0.176,12.3,-83.71627777,37.59479797
21131,13.6,6.6,0,0.298,0.9436,0.0146,0,0.8911,0.849165116,0.212,12.1,-83.38113995,37.09406631
21133,12.7,6.6,0.003,0.275,0.9758,0.8383,0.1477,0.8131,0.841844444,0.158,12.3,-82.85528225,37.12119214
21135,12.8,6.6,0.001,0.317,0.7232,0.433,0,0.3986,0.720616981,0.17,11.9,-83.37805607,38.53154163
21137,12.2,6.5,0.002,0.338,0.6968,0.4518,0.227,0.4623,0.653008571,0.117,11.7,-84.66084536,37.45536677
21139,10.9,6.6,0.001,0.295,0.4691,0.0398,0,0.2079,0.562602778,0.187,11.1,-88.35381378,37.20970327
21141,11.2,6.5,0.002,0.353,0.5172,0.6065,0.3582,0.2534,0.297850909,0.147,11,-86.87893824,36.85969878
21143,10.7,6.4,0.001,0.278,0.0949,0.0194,0.1477,0.4906,0.097204167,0.333,10.2,-88.0832815,37.01913014
